open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote,ignore
2026-04-13 11:17:00,70848.50000000,70860.18000000,70848.50000000,70860.17000000,2.24738000,2026-04-13 11:17:59.999,159242.03370480,417,2.07871000,147290.05278690,0
2026-04-13 11:18:00,70860.17000000,70869.76000000,70852.28000000,70852.28000000,2.78198000,2026-04-13 11:18:59.999,197130.30995540,762,1.42731000,101135.65897000,0
2026-04-13 11:19:00,70852.29000000,70861.31000000,70852.28000000,70861.30000000,2.02054000,2026-04-13 11:19:59.999,143168.48351040,356,1.87011000,132509.89871580,0
2026-04-13 11:20:00,70861.31000000,70884.30000000,70861.30000000,70884.29000000,2.30912000,2026-04-13 11:20:59.999,163647.78498710,818,2.16831000,153668.67810230,0
2026-04-13 11:21:00,70884.30000000,70906.67000000,70876.00000000,70876.00000000,4.07833000,2026-04-13 11:21:59.999,289118.55181080,1369,3.55610000,252096.03372910,0
2026-04-13 11:22:00,70876.01000000,70876.01000000,70861.82000000,70861.83000000,3.22371000,2026-04-13 11:22:59.999,228480.17330040,745,2.20994000,156631.65495520,0
2026-04-13 11:23:00,70861.83000000,70880.46000000,70861.82000000,70880.46000000,4.65108000,2026-04-13 11:23:59.999,329634.46084210,644,3.29209000,233310.68608650,0
2026-04-13 11:24:00,70880.46000000,70889.43000000,70842.48000000,70870.91000000,6.39041000,2026-04-13 11:24:59.999,452893.00091360,2235,4.56343000,323409.66191310,0
2026-04-13 11:25:00,70870.91000000,70881.92000000,70851.50000000,70878.60000000,6.58581000,2026-04-13 11:25:59.999,466712.27930860,1858,5.48598000,388771.08119710,0
2026-04-13 11:26:00,70878.60000000,70883.12000000,70861.19000000,70867.09000000,3.83987000,2026-04-13 11:26:59.999,272151.42002050,787,1.05998000,75119.43811110,0
2026-04-13 11:27:00,70867.08000000,70867.09000000,70867.08000000,70867.08000000,0.50163000,2026-04-13 11:27:59.999,35549.05492290,162,0.15825000,11214.71699250,0
2026-04-13 11:28:00,70867.09000000,70868.00000000,70867.08000000,70868.00000000,1.13453000,2026-04-13 11:28:59.999,80401.09590090,238,0.87000000,61654.42414380,0
